City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Nikolskoye,RU,2022-05-23 02:33:01,59.7035,30.7861,44.78,57,87,2.98,overcast clouds
1,Iqaluit,CA,2022-05-23 02:33:01,63.7506,-68.5145,22.73,79,100,18.41,light snow
2,Tuktoyaktuk,CA,2022-05-23 02:33:02,69.4541,-133.0374,19.4,86,100,14.97,overcast clouds
3,Albany,US,2022-05-23 02:32:16,42.6001,-73.9662,63.01,81,98,11.68,overcast clouds
4,Camocim,BR,2022-05-23 02:33:02,-2.9022,-40.8411,74.86,90,10,5.41,clear sky
5,Sitka,US,2022-05-23 02:33:03,57.0531,-135.33,51.69,76,100,5.75,overcast clouds
6,Inirida,CO,2022-05-23 02:33:03,3.8653,-67.9239,72.99,97,100,2.62,overcast clouds
7,Narsaq,GL,2022-05-23 02:33:04,60.9167,-46.05,37.62,92,98,6.98,overcast clouds
8,Kholodnyy,RU,2022-05-23 02:33:04,62.7167,147.95,36.52,98,100,3.11,light rain
9,Honiara,SB,2022-05-23 02:32:30,-9.4333,159.95,85.19,71,32,4.29,scattered clouds
10,Kaitangata,NZ,2022-05-23 02:33:05,-46.2817,169.8464,51.37,70,100,17.16,overcast clouds
11,San Vicente,AR,2022-05-23 02:33:06,-26.6167,-54.1333,53.73,72,100,0.6,overcast clouds
12,Mpulungu,ZM,2022-05-23 02:33:06,-8.7623,31.1141,70.02,69,80,5.93,broken clouds
13,Jamestown,US,2022-05-23 02:33:07,42.097,-79.2353,49.64,94,40,5.75,scattered clouds
14,Patacamaya,BO,2022-05-23 02:33:07,-17.2333,-67.9167,38.93,28,0,2.48,clear sky
15,Makakilo City,US,2022-05-23 02:29:51,21.3469,-158.0858,80.92,56,0,14.97,clear sky
16,Busselton,AU,2022-05-23 02:33:08,-33.65,115.3333,60.28,83,92,22.26,light rain
17,Korla,CN,2022-05-23 02:33:08,41.7597,86.1469,81.09,20,100,18.03,overcast clouds
18,Saint George,US,2022-05-23 02:28:38,37.1041,-113.5841,84.63,10,0,9.22,clear sky
19,Puerto Ayora,EC,2022-05-23 02:33:09,-0.7393,-90.3518,72.01,90,38,6.42,scattered clouds
20,Bethel,US,2022-05-23 02:32:28,41.3712,-73.414,71.91,89,20,3.44,few clouds
21,Hermanus,ZA,2022-05-23 02:33:10,-34.4187,19.2345,58.42,83,64,7.0,broken clouds
22,Pangnirtung,CA,2022-05-23 02:33:10,66.1451,-65.7125,25.45,98,100,7.92,light snow
23,Banda Aceh,ID,2022-05-23 02:33:11,5.5577,95.3222,85.53,67,100,13.62,overcast clouds
24,Severo-Kurilsk,RU,2022-05-23 02:32:17,50.6789,156.125,41.95,96,100,15.21,overcast clouds
25,Longyearbyen,SJ,2022-05-23 02:33:11,78.2186,15.6401,35.44,87,75,1.14,broken clouds
26,Adrar,MR,2022-05-23 02:33:12,20.5022,-10.0711,86.76,18,80,7.36,broken clouds
27,Hirara,JP,2022-05-23 02:28:16,24.8,125.2833,79.07,78,75,16.11,broken clouds
28,Rikitea,PF,2022-05-23 02:33:13,-23.1203,-134.9692,76.05,76,51,16.73,broken clouds
29,Sakaiminato,JP,2022-05-23 02:33:14,35.55,133.2333,75.13,56,20,6.91,few clouds
30,Skjervoy,NO,2022-05-23 02:33:15,70.0311,20.9714,42.8,81,100,5.55,overcast clouds
31,Ancud,CL,2022-05-23 02:33:16,-41.8697,-73.8203,48.45,76,73,18.5,light rain
32,Margate,GB,2022-05-23 02:30:30,51.3813,1.3862,59.31,80,98,7.92,overcast clouds
33,Sao Joao Da Barra,BR,2022-05-23 02:33:16,-21.6403,-41.0511,69.53,72,20,6.49,few clouds
34,Norman Wells,CA,2022-05-23 02:33:17,65.282,-126.8329,44.64,61,75,4.61,light intensity shower rain
35,Upernavik,GL,2022-05-23 02:33:17,72.7868,-56.1549,31.87,82,99,16.91,overcast clouds
36,Stornoway,GB,2022-05-23 02:33:18,58.2093,-6.3865,48.16,97,75,4.61,broken clouds
37,Thompson,CA,2022-05-23 02:30:16,55.7435,-97.8558,60.96,23,75,12.66,broken clouds
38,Mataura,NZ,2022-05-23 02:33:18,-46.1927,168.8643,50.49,75,79,9.46,broken clouds
39,Nizhniy Kuranakh,RU,2022-05-23 02:33:19,58.8353,125.4869,55.42,58,22,7.96,light rain
40,Leshan,CN,2022-05-23 02:33:19,29.5623,103.7639,77.65,61,35,2.77,scattered clouds
41,Bilibino,RU,2022-05-23 02:32:20,68.0546,166.4372,52.43,47,95,8.57,overcast clouds
42,Punta Arenas,CL,2022-05-23 02:33:20,-53.15,-70.9167,30.31,93,40,5.75,scattered clouds
43,Boueni,YT,2022-05-23 02:33:20,-12.9025,45.0761,80.58,69,84,1.77,light rain
44,Volchikha,RU,2022-05-23 02:33:21,52.0333,80.3833,61.79,28,81,6.26,broken clouds
45,Ambilobe,MG,2022-05-23 02:33:21,-13.2,49.05,70.86,76,99,4.16,overcast clouds
46,Vila Velha,BR,2022-05-23 02:30:36,-20.3297,-40.2925,66.15,94,40,1.14,scattered clouds
47,Jingdezhen,CN,2022-05-23 02:34:22,29.2947,117.2079,68.16,94,100,0.87,overcast clouds
48,Bambous Virieux,MU,2022-05-23 02:34:22,-20.3428,57.7575,73.65,73,40,5.75,scattered clouds
49,Talara,PE,2022-05-23 02:34:22,-4.5772,-81.2719,67.46,83,17,17.54,few clouds
50,Tuatapere,NZ,2022-05-23 02:34:23,-46.1333,167.6833,52.74,69,42,11.7,scattered clouds
51,Gat,IL,2022-05-23 02:30:05,31.61,34.7642,66.4,100,4,10.18,clear sky
52,Kiama,AU,2022-05-23 02:32:03,-34.6833,150.8667,61.57,96,99,5.01,light rain
53,Romny,UA,2022-05-23 02:34:24,50.751,33.4747,42.67,90,96,5.61,overcast clouds
54,Cartagena,CO,2022-05-23 02:31:44,10.3997,-75.5144,82.02,89,20,9.22,few clouds
55,Boguchany,RU,2022-05-23 02:34:24,58.3814,97.4531,65.46,50,0,1.61,clear sky
56,Morant Bay,JM,2022-05-23 02:34:25,17.8815,-76.4093,82.02,85,91,9.35,overcast clouds
57,Hualmay,PE,2022-05-23 02:34:25,-11.0964,-77.6139,63.93,88,31,6.96,scattered clouds
